Year,Title,Developer,Note,Platform,Publisher,Rank,Sales
2010,Wii Fit Plus,Nintendo EAD,,,Nintendo,6.,
2010,Just Dance 2,"Ubisoft Paris, Ubisoft Millan",,,Ubisoft,7.,
2010,Call of Duty: Modern Warfare 2,Infinity Ward,,,Activision Blizzard,8.,
2010,Assassin's Creed: Brotherhood,Ubisoft Montreal,,,Ubisoft,9.,
2010,NBA 2K11,Visual Concepts,,,Take-Two Interactive,10.,
2011,Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games",,,Activision Blizzard,1.,
2011,The Elder Scrolls V: Skyrim,Bethesda Game Studios,,,Bethesda Softworks,2.,
2011,Madden NFL 12,EA Tiburon,,,Electronic Arts,3.,
2011,Call of Duty: Black Ops,Treyarch,,,Activision Blizzard,5.,
2011,Just Dance 3,"Ubisoft Paris, Ubisoft Reflections, Ubisoft Montreal",,,Ubisoft,6.,
2011,Gears of War 3,Epic Games,,,Microsoft Studios,7.,
2011,Batman: Arkham City,Rocksteady Studios,,,Warner Bros. Games,8.,
2011,Pokémon Black/White,Game Freak,,,Nintendo,9.,
2011,Assassin's Creed Revelations,Ubisoft Montreal,,,Ubisoft,10.,
2012,Call of Duty: Black Ops II,Treyarch,,,Activision Blizzard,1.,
2012,Madden NFL 13,EA Tiburon,,,Electronic Arts,2.,
2012,Halo 4,343 Industries,,,Microsoft Studios,3.,
2012,Assassin's Creed III,Ubisoft Montreal,,,Ubisoft,4.,
2012,NBA 2K13,Visual Concepts,,,Take-Two Interactive,6.,
2012,Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games",,,Activision Blizzard,8.,
2012,Lego Batman 2: DC Super Heroes,Traveller's Tales,,,Warner Bros. Games,9.,
2012,FIFA 13,EA Vancouver,,,Electronic Arts,10.,
2013,Grand Theft Auto V,Rockstar North,,,Take-Two Interactive,1.,
2013,Call of Duty: Ghosts,Infinity Ward,,,Activision Blizzard,2.,
2013,Madden NFL 25,EA Tiburon,,,Electronic Arts,3.,
2013,Assassin's Creed IV: Black Flag,Ubisoft Montreal,,,Ubisoft,5.,
