,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
6604,Super Monkey Ball: Step & Roll,Sega,2010-02-09,Wii,Action,0.17,0.2,0.0,0.04,0.4,False
6605,The House of The Dead III,Sega,2002-10-24,XB,Shooter,0.29,0.08,0.0,0.01,0.39,False
6606,Dancing with the Stars: We Dance!,Activision,2008-10-21,DS,Misc,0.36,0.0,0.0,0.03,0.39,False
6607,Dancing with the Stars: We Dance!,Activision,2008-10-21,Wii,Misc,0.36,0.0,0.0,0.03,0.39,False
6608,Fire Emblem: Fuuin no Tsurugi,Nintendo,2002-03-29,GBA,Role-Playing,0.0,0.0,0.39,0.0,0.39,False
6609,Final Fantasy Crystal Chronicles: The Crystal Bearers,Square Enix,2009-12-26,Wii,Action,0.22,0.08,0.08,0.03,0.4,False
6610,Laser Blast,Activision,1981-03-01,2600,Action,0.37,0.02,0.0,0.0,0.39,False
6611,Thrasher Presents: Skate and Destroy,Rockstar Games,1999-10-31,PS,Sports,0.22,0.15,0.0,0.03,0.39,False
6612,Donkey Konga 2,Nintendo,2005-05-09,GC,Misc,0.3,0.08,0.0,0.01,0.39,False
6613,Tear Ring Saga Yutona Eiyuu Senki,Enterbrain,2001-05-24,PS,Role-Playing,0.0,0.0,0.37,0.03,0.39,False
6614,Taiko no Tatsujin Wii: Ketteiban,Namco Bandai,2011-11-23,Wii,Misc,0.0,0.0,0.39,0.0,0.39,False
6615,Disney Princess: Enchanting Storybooks,THQ,2011-11-01,Wii,Misc,0.26,0.11,0.0,0.04,0.41,False
6616,All-Star Baseball 2000,Acclaim Entertainment,1999-03-31,N64,Sports,0.36,0.03,0.0,0.0,0.39,False
6617,All-Star Baseball 2000,Acclaim Entertainment,1999-01-01,N64,Sports,0.36,0.03,0.0,0.0,0.39,False
6618,BattleTanx: Global Assault,3DO,1999-08-31,N64,Action,0.31,0.07,0.0,0.0,0.39,False
6619,BattleTanx: Global Assault,3DO,2000-02-29,N64,Action,0.31,0.07,0.0,0.0,0.39,False
6620,Custom Robo V2,Nintendo,2000-11-10,N64,Fighting,0.0,0.0,0.34,0.05,0.39,False
6621,Custom Robo V2,Nintendo,2008-02-19,N64,Fighting,0.0,0.0,0.34,0.05,0.39,False
6622,Extreme-G: XG2,Acclaim Entertainment,1998-10-07,N64,Racing,0.31,0.07,0.0,0.0,0.39,False
6623,Chibi-Robo! Plug into Adventure!,Nintendo,2006-02-06,GC,Adventure,0.23,0.06,0.09,0.01,0.39,False
6625,Kengo: Master of Bushido,Crave Entertainment,2001-01-03,PS2,Fighting,0.16,0.13,0.06,0.04,0.39,True
6626,Advance Wars: Dual Strike,Nintendo,2005-08-22,DS,Strategy,0.3,0.03,0.04,0.03,0.4,False
6627,Super Fire ProWrestling,Human Entertainment,1991-12-20,SNES,Fighting,0.0,0.0,0.39,0.0,0.39,False
6628,Cabela's Dangerous Hunts 2,Activision,2005-11-15,PS2,Sports,0.19,0.15,0.0,0.05,0.39,True
6629,Cabela's Dangerous Hunts 2,Activision,2005-11-16,PS2,Sports,0.19,0.15,0.0,0.05,0.39,True
6630,Cabela's Dangerous Hunts 2,Activision,2005-11-24,PS2,Sports,0.19,0.15,0.0,0.05,0.39,True
6631,Fatal Fury,Takara,1993-04-01,SNES,Fighting,0.0,0.0,0.39,0.0,0.39,False
6632,Fatal Fury,SNK,1991-12-20,SNES,Fighting,0.0,0.0,0.39,0.0,0.39,False
6633,Fatal Fury,Takara,1993-01-01,SNES,Fighting,0.0,0.0,0.39,0.0,0.39,False
6634,Fatal Fury,SNK Playmore,2007-10-08,SNES,Fighting,0.0,0.0,0.39,0.0,0.39,False
6635,Fatal Fury,SNK Playmore,2010-12-21,SNES,Fighting,0.0,0.0,0.39,0.0,0.39,False
6638,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,Banpresto,2001-04-27,GB,Role-Playing,0.0,0.0,0.39,0.0,0.39,False
6639,Ice Age 2: The Meltdown,Vivendi Games,2006-03-14,PS2,Platform,0.19,0.15,0.0,0.05,0.39,True
6640,Ice Age 2: The Meltdown,Sierra Entertainment,2006-03-14,PS2,Platform,0.19,0.15,0.0,0.05,0.39,True
6641,Ice Age 2: The Meltdown,Vivendi Games,2006-12-06,PS2,Platform,0.19,0.15,0.0,0.05,0.39,True
6642,Super Famista 3,Namco,1994-03-04,SNES,Sports,0.0,0.0,0.39,0.0,0.39,False
